=== S/M/L + DUPLICATE REEL PINPOINT SIMULATION ===
Strategy: Use previous gap to PREDICT current gap type.
          Then look for duplicate reels in the predicted window.
          If duplicate found -> BET HIGH, triple is imminent.

======================================================================
   TARGET: TRIPLE ACCUMULATION
======================================================================

--- ACCOUNT: Islam (119 hits) ---

  Gap #  7 | Prev: M ( 87) | Curr: L (151) | Predicted: S | Dup at spin  54 [attack  |attack  |goldSack] | Triple  97 spins later
  Gap #  8 | Prev: L (151) | Curr: M ( 93) | Predicted: S | Dup at spin  56 [accumula|goldSack|goldSack] | Triple  37 spins later
  Gap # 10 | Prev: S ( 49) | Curr: M (129) | Predicted: M | Dup at spin  84 [accumula|goldSack|goldSack] | Triple  45 spins later
  Gap # 11 | Prev: M (129) | Curr: L (136) | Predicted: S | Dup at spin  76 [accumula|goldSack|goldSack] | Triple  60 spins later
  Gap # 13 | Prev: S ( 19) | Curr: L (132) | Predicted: M | Dup at spin  87 [accumula|goldSack|goldSack] | Triple  45 spins later
  Gap # 14 | Prev: L (132) | Curr: S ( 71) | Predicted: S | Dup at spin  50 [attack  |spins   |goldSack] | Triple  21 spins later
  Gap # 15 | Prev: S ( 71) | Curr: L (136) | Predicted: M | Dup at spin  91 [attack  |attack  |attack  ] | Triple  45 spins later
  Gap # 16 | Prev: L (136) | Curr: S ( 68) | Predicted: S | Dup at spin  54 [attack  |spins   |goldSack] | Triple  14 spins later *** CAUGHT ***
  Gap # 20 | Prev: S ( 28) | Curr: M (100) | Predicted: M | Dup at spin  87 [coin    |coin    |coin    ] | Triple  13 spins later *** CAUGHT ***
  Gap # 25 | Prev: S ( 34) | Curr: L (394) | Predicted: M | Dup at spin  80 [accumula|goldSack|goldSack] | Triple 314 spins later
  Gap # 27 | Prev: S (  3) | Curr: L (185) | Predicted: M | Dup at spin  82 [goldSack|goldSack|goldSack] | Triple 103 spins later
  Gap # 29 | Prev: S ( 35) | Curr: M (123) | Predicted: M | Dup at spin  92 [accumula|goldSack|goldSack] | Triple  31 spins later
  Gap # 30 | Prev: M (123) | Curr: S ( 73) | Predicted: S | Dup at spin  55 [accumula|goldSack|goldSack] | Triple  18 spins later
  Gap # 31 | Prev: S ( 73) | Curr: L (177) | Predicted: M | Dup at spin  93 [coin    |steal   |steal   ] | Triple  84 spins later
  Gap # 33 | Prev: S (  7) | Curr: M (127) | Predicted: M | Dup at spin  97 [accumula|goldSack|goldSack] | Triple  30 spins later
  Gap # 36 | Prev: S ( 58) | Curr: L (191) | Predicted: M | Dup at spin  80 [accumula|goldSack|goldSack] | Triple 111 spins later
  Gap # 37 | Prev: L (191) | Curr: S ( 74) | Predicted: S | Dup at spin  58 [attack  |coin    |shield  ] | Triple  16 spins later
  Gap # 40 | Prev: M (107) | Curr: M (125) | Predicted: S | Dup at spin  70 [accumula|goldSack|goldSack] | Triple  55 spins later
  Gap # 41 | Prev: M (125) | Curr: L (144) | Predicted: S | Dup at spin  56 [accumula|accumula|coin    ] | Triple  88 spins later
  Gap # 43 | Prev: S ( 44) | Curr: L (169) | Predicted: M | Dup at spin  98 [attack  |attack  |attack  ] | Triple  71 spins later
  Gap # 44 | Prev: L (169) | Curr: M (101) | Predicted: S | Dup at spin  54 [accumula|goldSack|goldSack] | Triple  47 spins later
  Gap # 45 | Prev: M (101) | Curr: M (107) | Predicted: S | Dup at spin  51 [goldSack|goldSack|goldSack] | Triple  56 spins later
  Gap # 46 | Prev: M (107) | Curr: L (131) | Predicted: S | Dup at spin  51 [attack  |spins   |goldSack] | Triple  80 spins later
  Gap # 50 | Prev: M ( 80) | Curr: L (156) | Predicted: S | Dup at spin  54 [attack  |spins   |goldSack] | Triple 102 spins later
  Gap # 52 | Prev: S ( 44) | Curr: L (163) | Predicted: M | Dup at spin  83 [goldSack|goldSack|goldSack] | Triple  80 spins later
  Gap # 54 | Prev: S ( 53) | Curr: L (245) | Predicted: M | Dup at spin  94 [attack  |coin    |coin    ] | Triple 151 spins later
  Gap # 58 | Prev: S (  5) | Curr: M ( 89) | Predicted: M | Dup at spin  84 [coin    |coin    |steal   ] | Triple   5 spins later *** CAUGHT ***
  Gap # 60 | Prev: L (184) | Curr: M (114) | Predicted: S | Dup at spin  64 [steal   |spins   |goldSack] | Triple  50 spins later
  Gap # 62 | Prev: S ( 37) | Curr: M (113) | Predicted: M | Dup at spin  85 [shield  |shield  |shield  ] | Triple  28 spins later
  Gap # 63 | Prev: M (113) | Curr: L (227) | Predicted: S | Dup at spin  80 [coin    |coin    |coin    ] | Triple 147 spins later
  Gap # 64 | Prev: L (227) | Curr: M (101) | Predicted: S | Dup at spin  67 [goldSack|goldSack|goldSack] | Triple  34 spins later
  Gap # 65 | Prev: M (101) | Curr: L (233) | Predicted: S | Dup at spin  57 [accumula|goldSack|goldSack] | Triple 176 spins later
  Gap # 67 | Prev: S ( 49) | Curr: L (136) | Predicted: M | Dup at spin  80 [accumula|goldSack|goldSack] | Triple  56 spins later
  Gap # 68 | Prev: L (136) | Curr: L (150) | Predicted: S | Dup at spin  50 [steal   |spins   |goldSack] | Triple 100 spins later
  Gap # 69 | Prev: L (150) | Curr: L (163) | Predicted: S | Dup at spin  76 [coin    |steal   |spins   ] | Triple  87 spins later
